Date,^GSPC
2019-10-01,3136.4400227864585
2020-01-01,2921.443359375
2020-04-01,3019.010009765625
2020-07-01,3378.1433919270835
2020-10-01,3549.219970703125
2021-01-01,3832.7599283854165
2021-04-01,4227.59326171875
2021-07-01,4408.493326822917
2021-10-01,4646.186686197917
2022-01-01,4473.299967447917
2022-04-01,4016.4866536458335
2022-07-01,3890.3033854166665
2022-10-01,3930.530029296875
2023-01-01,4052.02001953125
2023-04-01,4266.563313802083
2023-07-01,4461.556640625
2023-10-01,4510.4765625
2024-01-01,5065.42333984375
2024-04-01,5257.893229166667
2024-07-01,5644.393229166667
2024-10-01,5873.1533203125
2025-01-01,5868.9599609375
2025-04-01,5895.2333984375
2025-07-01,6496.03662109375
2025-10-01,6844.930013020833
