period,k_hat,c_hat,z_hat,xi_hat,gdp_growth_level,gdp_growth_vol,ulc_growth_level,ulc_growth_vol,inflation_level,inflation_vol,unemp_level,unemp_vol,spread_level,spread_vol,countrycode,pad_1,pad_2,pad_3,pad_4,pad_5
1980Q1,-0.014079815833330622,0.0023578594595417,0.009120520476941806,0.13844705227510692,-0.00043713005881063083,0.011038508546937985,0.038683188245884015,0.02042386983415932,0.027624297802265163,0.0031547173149544467,7.566667,0.19340970713724998,-1.7175000000000011,1.5077078623388331,CAN,0.0,0.0,0.0,0.0,0.0
1980Q2,-0.010613153268799635,0.010697183280273137,0.005690119010421473,0.23663559103372256,-0.00043713005881063083,0.011038508546937985,0.038683188245884015,0.02042386983415932,0.027624297802265163,0.0031547173149544467,7.733333,0.19340970713724998,-1.8341600000000007,1.5077078623388331,CAN,0.0,0.0,0.0,0.0,0.0
1980Q3,-0.00623962688863422,0.01821073077147517,0.0038669394406983908,0.3098086206733206,-0.0008309103204608981,0.011038508546937985,0.0036935808431287263,0.02042386983415932,0.028417715483389783,0.0031547173149544467,7.5,0.19340970713724998,1.4049999999999994,1.5077078623388331,CAN,0.0,0.0,0.0,0.0,0.0
1980Q4,-0.0012330805144282753,0.02388326665369256,0.0033905508065009034,0.3466017757879372,0.01383645399387845,0.011038508546937985,0.029426411088118054,0.02042386983415932,0.027632747553642867,0.0031547173149544467,7.266667,0.19340970713724998,-1.0158299999999993,1.5077078623388331,CAN,0.0,0.0,0.0,0.0,0.0
1981Q1,0.003580440168067689,0.026521534346949593,0.0032563904678329716,0.3403685599393231,0.02154351265455512,0.011038508546937985,0.015266884831624417,0.02042386983415932,0.03415699158423746,0.0031547173149544467,7.4,0.1754357780565302,-3.9866699999999984,1.9359316034069998,CAN,0.0,0.0,0.0,0.0,0.0
1981Q2,0.007351481816643135,0.024910105029880114,0.0024255282190717604,0.28445939402958326,0.010933604086270421,0.009619974383873476,0.030088246957604703,0.018081387789538272,0.029514933975434587,0.002732184237708763,7.166667,0.20593039097228982,-3.6983400000000017,1.9636580734605162,CAN,0.0,0.0,0.0,0.0,0.0
1981Q3,0.009261230084998573,0.017907545400342784,-9.722351156343442e-05,0.1728819448446801,-0.008990999362820551,0.011315288698146436,0.0391291483922358,0.016918664117140197,0.030034141899987876,0.0024545940486210955,7.466667,0.18828082566272705,-4.29083,2.0233606401020765,CAN,0.0,0.0,0.0,0.0,0.0
1981Q4,0.009242441684073288,0.006439997338612002,-0.004255677059644823,0.01947554542206852,-0.00459901897559678,0.011080273340287215,0.03389952159910403,0.015842213959139206,0.02451946182744158,0.0029420122382173308,8.433333,0.3911722106857612,-1.5700000000000003,1.8849489138317135,CAN,0.0,0.0,0.0,0.0,0.0
1982Q1,0.00797825078937664,-0.006494445492844392,-0.008940692804704473,-0.14201906904342104,-0.011444181346899951,0.011704072868439858,0.03418904463175143,0.0037071743490849894,0.02522647535940714,0.003008946621935351,8.933333,0.6216814220131441,0.11334000000000088,2.041107521350235,CAN,0.0,0.0,0.0,0.0,0.0
1982Q2,0.006178891821383425,-0.017811142951714487,-0.012994693450227603,-0.27700335933920356,-0.011512913831507987,0.012712926625940086,0.022259036925299736,0.006279493840302841,0.030914768006883975,0.0031123144206352754,10.4,1.1279193428821475,-0.8550000000000022,2.071981038912398,CAN,0.0,0.0,0.0,0.0,0.0
