Date,^GSPC
1990-01-01,333.6366678873698
1990-04-01,350.01666259765625
1990-07-01,328.2533264160156
1990-10-01,318.81333414713544
1991-01-01,362.0733337402344
1991-04-01,378.7766621907552
1991-07-01,390.3666585286458
1991-10-01,394.9200032552083
1992-01-01,408.39000447591144
1992-04-01,412.81334431966144
1992-07-01,418.67999267578125
1992-10-01,428.5799967447917
1993-01-01,444.61000569661456
1993-04-01,446.9700012207031
1993-07-01,456.8733317057292
1993-10-01,465.35666910807294
1994-01-01,464.8399963378906
1994-04-01,450.55999755859375
1994-07-01,465.4866638183594
1994-10-01,461.76999918619794
1995-01-01,486.17333984375
1995-04-01,530.9533487955729
1995-07-01,569.4499918619791
1995-10-01,600.9333292643229
1996-01-01,640.6500040690104
1996-04-01,664.6399943033854
1996-07-01,659.7566731770834
1996-10-01,734.3433430989584
1997-01-01,778.0333251953125
1997-04-01,844.9200236002604
1997-07-01,933.6866658528646
1997-10-01,946.8166707356771
1998-01-01,1043.7899983723958
1998-04-01,1112.1366373697917
1998-07-01,1031.6533610026042
1998-10-01,1163.8433430989583
1999-01-01,1268.1133219401042
1999-04-01,1336.57666015625
1999-07-01,1310.6133219401042
1999-10-01,1407.030029296875
2000-01-01,1419.8199869791667
2000-04-01,1442.5433349609375
2000-07-01,1461.67333984375
2000-10-01,1354.8766682942708
2001-01-01,1255.4266357421875
2001-04-01,1243.219970703125
2001-07-01,1128.5832926432292
2001-10-01,1115.7699788411458
2002-01-01,1128.1066487630208
2002-04-01,1044.626688639323
2002-07-01,880.9900105794271
2002-10-01,900.6300048828125
2003-01-01,848.3433430989584
2003-04-01,951.6700032552084
2003-07-01,998.0966593424479
2003-10-01,1073.6099853515625
2004-01-01,1134.0933024088542
2004-04-01,1122.9400227864583
2004-07-01,1106.8466389973958
2004-10-01,1171.97998046875
2005-01-01,1188.4866536458333
2005-04-01,1179.893310546875
2005-07-01,1227.7733561197917
2005-10-01,1234.9266764322917
2006-01-01,1285.2033284505208
2006-04-01,1283.63330078125
2006-07-01,1305.4433186848958
2006-10-01,1398.9566650390625
2007-01-01,1421.9733072916667
2007-04-01,1505.4466552734375
2007-07-01,1485.336669921875
2007-10-01,1499.6266682942708
2008-01-01,1343.9600016276042
2008-04-01,1355.3233235677083
2008-07-01,1238.8566487630208
2008-10-01,922.7466634114584
2009-01-01,786.2800089518229
2009-04-01,903.7566731770834
2009-07-01,1021.7266438802084
2009-10-01,1082.306640625
2010-01-01,1115.9300130208333
2010-04-01,1102.2699788411458
2010-07-01,1097.3766276041667
2010-10-01,1207.1500244140625
2011-01-01,1313.056640625
2011-04-01,1343.1499837239583
2011-07-01,1214.1966959635417
2011-10-01,1252.6199951171875
2012-01-01,1362.1866861979167
2012-04-01,1356.8000081380208
2012-07-01,1408.8566487630208
2012-10-01,1418.1766764322917
2013-01-01,1527.32666015625
2013-04-01,1611.5299886067708
2013-07-01,1666.75
2013-10-01,1803.5700276692708
2014-01-01,1838.1266276041667
2014-04-01,1922.5832926432292
2014-07-01,1968.7766927083333
2014-10-01,2048.1700032552085
2015-01-01,2055.7932942708335
2015-04-01,2085.336669921875
2015-07-01,1998.6833902994792
2015-10-01,2067.9033203125
2016-01-01,1977.4033203125
2016-04-01,2087.0367024739585
2016-07-01,2170.9400227864585
2016-10-01,2187.9300130208335
2017-01-01,2335.07666015625
2017-04-01,2406.469970703125
2017-07-01,2487.1033528645835
2017-10-01,2632.1500651041665
2018-01-01,2726.1700846354165
2018-04-01,2690.5633951822915
2018-07-01,2877.2633463541665
2018-10-01,2659.586669921875
2019-01-01,2774.3299967447915
2019-04-01,2879.8833821614585
2019-07-01,2961.1932779947915
2019-10-01,3136.4400227864585
